well_ID,Cell_line,Treatment,,,,,,,,,,
B17,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
C17,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
D17,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
E17,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
F17,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
G17,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
H17,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
I17,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
J17,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
K17,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
L17,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
M17,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
N17,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
O17,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
P17,empty,empty,,,,,,,,,,
A18,empty,empty,,,,,,,,,,
B18,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
C18,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
D18,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
E18,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
F18,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
G18,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
H18,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
I18,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
J18,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
K18,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
L18,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
M18,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
N18,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
O18,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
P18,empty,empty,,,,,,,,,,
A19,empty,empty,,,,,,,,,,
B19,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
C19,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
D19,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
E19,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
F19,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
G19,HEK293T_Dvl2_mEos_Axin_KO_V,medium,,,,,,,,,,
H19,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
I19,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
J19,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
K19,HEK293T_Dvl2_mEos_Axin_KO_V,DMSO,,,,,,,,,,
L19,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
M19,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
N19,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
O19,HEK293T_Dvl2_mEos_Axin_KO_V,PF670462,,,,,,,,,,
P19,empty,empty,,,,,,,,,,
A20,empty,empty,,,,,,,,,,
B20,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
C20,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
D20,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
E20,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
F20,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
G20,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
H20,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
I20,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
J20,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
K20,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
L20,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
M20,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
N20,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
O20,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
P20,empty,empty,,,,,,,,,,
A21,empty,empty,,,,,,,,,,
B21,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
C21,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
D21,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
E21,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
F21,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
G21,HEK293T_Dvl2_mEos_Axin_KO_VI,medium,,,,,,,,,,
H21,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
I21,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
J21,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
K21,HEK293T_Dvl2_mEos_Axin_KO_VI,DMSO,,,,,,,,,,
L21,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
M21,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
N21,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
O21,HEK293T_Dvl2_mEos_Axin_KO_VI,PF670462,,,,,,,,,,
P21,empty,empty,,,,,,,,,,
A22,empty,empty,,,,,,,,,,
B22,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
C22,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
D22,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
E22,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
F22,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
G22,HEK293T_Dvl2_mEos_Axin_KO_VII,medium,,,,,,,,,,
H22,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
I22,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
J22,HEK293T_Dvl2_mEos_Axin_KO_VII,DMSO,,,,,,,,,,
